,cluster_score,CPI_v3,CPI_technique,proxy_label
609,63.76371430427932,62.7,67.0,1
610,56.014448825419,57.5,66.7,1
611,63.114182584880986,60.9,65.4,1
612,66.58624050530915,64.3,67.1,1
613,79.60132781443714,63.5,63.6,-1
614,60.71644521984909,60.8,66.9,-1
615,62.80286446670935,60.5,65.0,-1
616,61.25393688255538,60.0,65.6,1
617,51.65144577354628,54.1,65.0,-1
618,58.543714076887035,25.0,25.5,0
619,66.46288099970855,62.1,64.7,1
620,58.84762723837104,59.3,66.2,1
621,62.838897554668314,61.0,65.7,1
622,59.761342308008516,60.1,66.6,1
623,,56.1,63.4,-1
624,63.07578827124844,62.8,67.6,1
625,63.84292617400406,61.8,66.0,1
626,61.10276338697582,61.0,66.9,1
627,59.87034631631594,54.6,58.1,-1
628,60.919884290187376,60.4,66.3,1
629,59.4959383045354,59.0,65.2,1
630,59.20687976177885,57.2,62.7,-1
631,64.30192947516761,61.0,64.5,-1
632,67.49066864171365,63.9,66.4,1
633,,61.9,63.3,-1
634,,25.0,24.1,0
635,,53.2,63.2,-1
636,53.21346493104282,54.6,63.6,-1
637,47.86486933357046,25.0,25.0,0
638,56.05488785611533,25.0,26.4,0
639,62.02637495472108,59.3,64.1,-1
640,58.926308721355404,59.8,65.9,1
641,45.20483588837476,25.0,27.5,0
642,55.77663372507189,25.0,24.7,0
643,72.8317060751225,66.1,67.6,1
644,41.540921714292445,25.0,26.2,0
645,71.15955661559121,65.5,67.3,-1
646,66.08692020922618,63.6,66.4,1
647,32.979824222678836,25.0,29.3,0
648,28.64922330410221,25.0,29.4,0
649,35.65758388003947,25.0,30.4,0
650,26.82318973460366,25.0,30.1,0
651,44.70686597121577,43.2,48.9,-1
652,,62.5,65.6,1
653,59.811786026057746,52.7,54.0,-1
654,,55.4,58.3,-1
655,,56.4,59.1,-1
656,80.04506233801148,61.9,61.8,-1
657,62.29556420372306,59.5,64.0,1
658,,60.6,65.4,1
659,60.21805411953051,58.4,64.2,1
660,,59.6,63.9,-1
661,,60.0,66.0,1
662,,60.0,66.3,1
663,,59.1,64.6,-1
664,60.43063517901128,59.9,66.2,1
665,54.864556255269726,54.5,63.3,-1
666,57.53802899299173,56.2,61.6,-1
667,66.9421156434149,62.3,64.4,1
668,57.586782530115535,57.0,64.6,1
669,66.8601068421101,63.2,65.9,1
670,55.81172940904754,56.9,66.1,-1
671,65.00703850551568,62.9,66.5,1
672,57.85304783525071,58.5,66.2,1
673,64.29669215491396,60.3,63.4,-1
674,65.01383060057115,62.4,65.8,1
675,66.77141601313336,60.6,63.0,-1
676,,62.9,64.8,-1
677,72.05790521876786,65.2,66.9,1
678,57.7324477079759,57.6,64.9,-1
679,60.274604192641654,61.3,67.9,-1
680,54.44223745116332,56.0,64.9,1
681,60.51130436823927,58.6,64.2,-1
682,58.08307332999236,58.0,65.4,-1
683,55.31216062420835,54.4,62.7,-1
684,,57.2,63.6,-1
685,74.70280047801681,56.9,57.0,-1
686,71.88315655812806,64.3,65.7,1
687,60.6094971743811,61.0,67.3,1
688,65.11693575540967,62.0,65.3,1
689,63.834504788888026,61.1,65.2,-1
690,34.6479235025106,25.0,25.1,0
691,55.77833216557724,56.1,61.7,-1
692,59.435124101582126,57.4,63.2,-1
693,61.73849435230721,59.6,64.6,1
694,49.60453219808644,25.0,24.4,0
695,57.45930127692189,56.4,62.7,-1
696,,60.7,67.1,-1
697,46.68844685111985,25.0,27.7,0
698,58.99104742422971,57.8,63.6,-1
699,54.80432888100497,55.9,64.8,1
700,56.06659758498795,56.1,63.4,1
701,58.76772966655547,55.8,60.5,1
702,50.060650701715815,25.0,27.4,0
703,51.6131100372145,52.7,62.6,-1
704,58.35881595307262,59.0,66.0,1
705,,54.6,55.9,-1
706,65.2591118558789,61.0,64.1,-1
707,60.83065344269092,61.8,68.1,-1
708,72.65376654467418,58.7,59.5,-1
709,62.10330949917997,57.4,61.3,-1
710,68.13052387273882,61.0,62.8,-1
711,39.738170229757706,25.0,25.2,0
712,58.38405782611093,25.0,26.5,0
713,71.98467013297655,62.5,64.0,-1
714,60.45418711514847,59.8,66.0,1
