id_parcelle,shap_slope_p50,shap_slope_p90,shap_slope_std,shap_twi_mean,shap_has_thalweg_mean,shap_profile_curvature_mean,shap_tri_mean,shap_hillshade_winter_mean,shap_aspect_south_ratio_mean,shap_svf_mean,CPI_ML_v6,CPI_v6,CPI_technique,zone_plu,compactness_ratio,elongation_ratio,shape_warning,ces_existant,ces_residuel,emprise_residuelle_m2,ces_warning,cluster_score,brgm_argiles_flag,brgm_mvt_terrain_flag,shap_groupe_SLOPE,shap_groupe_HYDROLOGY,shap_groupe_MORPHOLOGY,shap_groupe_SUNLIGHT,cpi_ml_ci_low,cpi_ml_ci_high,cpi_ml_std
73065000BX0279,0.006507473,1.442002,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,99.6999969482422,52.6,62.7,inconnu,0.0803455775368349,1.2545268590206964,Parcelle allongee - emprise reelle limitee,0.0,0.4,184.0458134285813,,51.27388411129928,,,1.5416443,0.0,0.2468078,-0.0020383701,99.0084457397461,99.98924255371094,0.24839499592781067
73065000BX0283,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,31.5,inconnu,0.6961758483070686,1.365331987373321,,0.0,0.4,74.97225370886405,Emprise residuelle < 80m2 - constructibilite tres limitee,26.043624505198903,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BX0284,0.0020721056,-1.181153,-0.39602852,0.0,0.0,3.8211234e-05,-0.19816427,-0.009404767,0.0,0.0,1.0,25.0,31.1,inconnu,0.5424545519257737,2.760657524986247,,0.0,0.4,907.8108423116848,,42.83431429099753,,,-1.5751095,0.0,-0.19812606,-0.009404767,0.01768018864095211,0.9180054664611816,0.22201953828334808
73065000BX0154,0.0020721056,-1.1906319,-0.39602852,0.0,0.0,3.8211234e-05,-0.18868546,-0.009404767,0.0,0.0,1.0,25.0,30.1,inconnu,0.6928689884067386,1.5785144955174495,,0.0,0.4,33.13790141568364,Emprise residuelle < 80m2 - constructibilite tres limitee,45.88152949928482,,,-1.5845883,0.0,-0.18864726,-0.009404767,0.047873251140117645,1.8361949920654297,0.4654977321624756
73065000BX0101,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.8,69.2,inconnu,0.6584276465227761,2.125705725099289,,0.0,0.4,10.19172515443141,Emprise residuelle < 80m2 - constructibilite tres limitee,55.78533308094633,,,1.5524521,0.0,0.2468078,-0.0020383701,99.67453002929688,100.0,0.13580931723117828
73065000BX0264,-0.030640487,-1.08979,-0.3353367,0.0,0.0,-0.0052498584,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,31.4,inconnu,0.2490703343846584,2.033009060051929,,0.0,0.4,20.27601426037907,Emprise residuelle < 80m2 - constructibilite tres limitee,30.95770630626585,,,-1.4557672,0.0,-0.3550077,-0.007388426,0.0,0.0,0.0
73065000BX0288,0.025153989,-1.4435315,0.0890894,0.0,0.0,-0.0052498584,-0.071877636,-0.009404767,0.0,0.0,11.100000381469728,25.0,29.3,inconnu,0.6509086732414234,1.6521611258213094,,0.0,0.4,8.019584430608075,Emprise residuelle < 80m2 - constructibilite tres limitee,47.01967870598157,,,-1.3292881,0.0,-0.077127494,-0.009404767,0.05933720991015434,2.775817394256592,0.8351192474365234
73065000BX0287,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,27.8,inconnu,0.482271262226159,1.4198675364928897,,0.0,0.4,348.7522228048693,,45.01398494649058,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BX0282,-0.0067412755,0.36932728,-0.8584848,0.0,0.0,3.8211234e-05,-0.40043995,-0.052918307,0.0,0.0,24.0,25.0,30.2,inconnu,0.7643707251858325,1.1432554976827856,,0.1655810394296026,0.2344189605703973,171.51970406289948,,43.78410172619997,,,-0.4958988,0.0,-0.40040174,-0.052918307,0.0,4.138782024383545,2.5672566890716553
73065000BX0250,0.0020721056,-1.1263613,-0.392892,0.0,0.0,3.8211234e-05,-0.27259922,-0.009404767,0.0,0.0,0.5,25.0,30.8,inconnu,0.5546510434027355,1.498964664159453,,0.010007202111557,0.389992797888443,602.4725545458001,,40.71203121238255,,,-1.5171812,0.0,-0.272561,-0.009404767,0.0,0.05735400691628456,0.017608795315027237
