id_parcelle,block_id,slope_p50,slope_p90,slope_std,twi_mean,has_thalweg_mean,profile_curvature_mean,tri_mean,hillshade_winter_mean,aspect_south_ratio_mean,svf_mean,proxy_label,CPI_v3
73065000AB0101,3083_21678,16.80644989013672,37.0754508972168,12.500312405650298,,,0.08947792377826584,0.5094782807944965,0.5484295209950165,0.6665616136148755,,0,25.0
73065000AB0254,3085_21678,5.932887077331543,26.539173126220703,9.656702176463883,,,-0.06422866670425328,0.25230299955033986,0.36712495620641333,0.2590042372881356,,0,25.0
73065000AB0311,3084_21677,20.991180419921875,32.274417877197266,12.003702125476641,,,-0.08871975460567989,0.4721989330944714,0.3759409930254962,0.23423423423423423,,0,25.0
73065000AB0273,3084_21677,2.2633371353149414,6.7112202644348145,2.7454113030133938,,,0.0037035353186490837,0.08986557049493299,0.3617058383695116,0.3417201118237132,,1,62.2
73065000AB0472,3084_21677,1.5569669008255005,3.2869393825531006,1.2171951812518742,,,0.0010353825624180837,0.05419687551024392,0.3571512793368071,0.20354384370740572,,1,62.2
73065000AB0428,3084_21677,1.3724993467330933,2.8979310989379883,1.0681108138263398,,,-0.00033942376724397294,0.052454547541217464,0.359725798019255,0.27583527583527584,,1,63.5
73065000AB0543,3084_21677,1.4139214754104614,6.03145694732666,2.8693767400494687,,,0.004856899102004317,0.07482317598214899,0.36337733504795794,0.23652365236523654,,1,62.2
73065000AB0529,3084_21677,1.5503044128417969,3.5914435386657715,2.4399127144947808,,,-0.0008305111708175494,0.06137591868601892,0.36133863220811846,0.30561977592032724,,1,62.0
73065000AB0531,3084_21677,0.9541690945625305,2.2334513664245605,1.6433131351998893,,,0.0004694899438725892,0.044060559947945416,0.35970901150922346,0.25696936240684515,,1,63.2
73065000AB0554,3085_21677,2.5616986751556396,7.242208480834961,3.0912751856256273,,,0.010647905809425323,0.0971291817615575,0.3495643503973868,0.118508655126498,,1,57.6
73065000AB0082,3084_21677,2.2303881645202637,5.3268561363220215,1.9722212635040082,,,0.003102448411096371,0.08927134114256505,0.36204420546770416,0.2891566265060241,,1,63.8
73065000AB0489,3085_21677,1.698856234550476,3.7591617107391357,1.4410524343706779,,,-0.0005170170562826676,0.05508506418967102,0.33792599155098463,0.04394861392832995,,1,56.9
73065000AB0487,3085_21677,1.9908214807510376,5.397648334503174,3.783792609867861,,,-0.013678700910972199,0.08448617489787384,0.33774994583070694,0.14817688130333592,,1,58.3
73065000AB0488,3085_21677,1.5520281791687012,4.0133376121521,1.701184087700972,,,-0.0008726187833088382,0.05280483186476889,0.34097055516818153,0.1293774319066148,,1,60.2
73065000AB0517,3085_21677,1.8195823431015015,5.217127323150635,1.975831112150653,,,0.005977133293270757,0.06828967548188906,0.34260383933713917,0.1158693589917333,,1,58.6
73065000AB0561,3085_21678,2.584628105163574,7.971349716186523,4.05081758699687,,,0.01029900868733724,0.10517728169759115,0.33937225341796873,0.06638888888888889,,1,55.3
73065000AB0559,3084_21678,1.2994558811187744,2.1542792320251465,1.2382185400169292,,,0.008198314195650792,0.04244700553849824,0.3415026654104436,0.06464556397681677,,1,58.1
73065000AB0331,3083_21678,14.366520881652832,33.970733642578125,11.4706920702456,,,0.00013132127955620097,0.426849419357265,0.1697525476726786,0.05801874841651888,,0,25.0
73065000AB0567,3084_21677,2.0252366065979004,7.90254545211792,3.130111053674098,,,-0.0037504062573225257,0.09457922312489164,0.3398224173240291,0.3217753120665742,,1,63.0
73065000AB0439,3084_21678,1.7116166353225708,4.394946098327637,2.1512319024750917,,,0.0009123520626010256,0.06461654822812633,0.3572211278806612,0.19632557145908994,,1,61.7
73065000AB0388,3084_21678,1.6371957063674927,4.356762886047363,1.8047759973655775,,,-0.00731514767483548,0.06355185293936515,0.3578919556763795,0.2153153153153153,,1,61.6
73065000AB0367,3084_21678,1.5860975980758667,3.6039505004882812,1.200148036380523,,,0.0016339986274639766,0.0554217000802358,0.3444497187932332,0.12825520833333334,,1,60.0
73065000AB0447,3084_21678,2.0933690071105957,5.06060266494751,1.875691353665278,,,-0.0027277384917748157,0.06632388061678349,0.3309714225343036,0.08121827411167512,,1,56.4
73065000AB0354,3084_21678,3.089883327484131,6.0224809646606445,1.8363643235383698,,,0.001667107892247428,0.08940081469780575,0.3123899476718059,0.05752212389380531,,1,56.4
73065000AB0432,3083_21678,1.788232684135437,5.772215843200684,2.46786469939865,,,-0.001537979720702844,0.07245254461737514,0.35250510823790093,0.12757083273407163,,1,60.0
73065000AB0433,3084_21678,2.0370161533355713,5.751338481903076,2.2803100128286227,,,0.004169558903564159,0.08377826906947376,0.360413908181921,0.3698431845597105,,1,63.4
73065000AB0363,3084_21678,1.7279025316238403,4.058716297149658,1.4166305932523773,,,0.0017025348725339005,0.05571704108911706,0.350065393235438,0.3070439494280554,,1,63.7
73065000AB0434,3084_21678,1.9850502014160156,6.297637939453125,2.348690359117935,,,-0.0013667256077052362,0.07690191905538685,0.35541617079776755,0.2644998905668636,,1,62.4
73065000AB0371,3084_21678,1.7820390462875366,4.075276851654053,1.3884118584048093,,,0.0027213603445568925,0.05790696533970863,0.3529433532330975,0.27672955974842767,,1,63.0
73065000AB0440,3084_21678,2.278029441833496,7.818509101867676,3.290027325877335,,,-0.0033018404877309068,0.09427887649582531,0.3410648985467768,0.11494019866207177,,1,58.3
73065000AB0374,3084_21678,1.6744636297225952,4.505655765533447,1.7733446012127834,,,-0.0013614469499730352,0.06047114585762593,0.35809125757929106,0.21880597014925374,,1,61.9
73065000AB0359,3084_21678,2.3790581226348877,6.387163162231445,2.2051917096177314,,,-0.006366434478409311,0.08231678631089946,0.33207543530374367,0.22875516766192008,,1,61.1
73065000AB0468,3084_21678,1.8494223356246948,6.406771659851074,2.7621701398811496,,,-0.0017720017850288508,0.07997130061730996,0.36077663795192144,0.3057475139052756,,1,63.8
73065000AB0508,3084_21678,1.4952491521835327,4.449201583862305,4.786973011705433,,,0.0026962235539826217,0.07989526633738121,0.34529841230603014,0.10847149211484028,,1,57.4
73065000AB0408,3084_21678,32.7380256652832,40.12204360961914,9.763949918368636,,,-0.02160251277616654,0.7590440772045618,0.7288100143958782,0.9770114942528736,,0,25.0
73065000AB0455,3085_21678,1.3396446704864502,4.727673530578613,2.602083980388094,,,-0.0038152763000221753,0.06092097519787118,0.3520535744746179,0.2743231441048035,,1,62.6
73065000AB0535,3084_21678,0.9199205040931702,1.9104461669921875,0.8688269061098521,,,-0.001675683250303593,0.03744040972989421,0.3522970487078353,0.13614262560777957,,1,59.3
73065000AB0563,3084_21678,1.4424357414245605,4.077045440673828,2.658946371381417,,,0.01584026331630692,0.06601993253397972,0.36967284833739267,0.2892998678996037,,1,64.0
73065000AB0580,3084_21678,2.162508964538574,34.77330017089844,14.141181216129654,,,-0.027395614763585534,0.3726560313527177,0.25681532883062597,0.036585365853658534,,0,25.0
